id,c_date,campaign_name,category,campaign_id,impressions,mark_spent,clicks,leads,orders,revenue,CPL
1,2021-02-01,facebook_tier1,social,349043,148263,7307.37,1210,13,1,4981.0,562.1053846153847
2,2021-02-01,facebook_tier2,social,348934,220688,16300.2,1640,48,3,14962.0,339.58750000000003
3,2021-02-01,google_hot,search,89459845,22850,5221.6,457,9,1,7981.0,580.1777777777778
4,2021-02-01,google_wide,search,127823,147038,6037.0,1196,24,1,2114.0,251.54166666666666
5,2021-02-01,youtube_blogger,influencer,10934,225800,29962.2,2258,49,10,84490.0,611.4734693877551
6,2021-02-01,instagram_tier1,social,9034945,444857,9540.01,1342,27,3,17943.0,353.3337037037037
7,2021-02-01,instagram_tier2,social,983498,511200,3648.9,2556,94,1,1981.0,38.81808510638298
8,2021-02-01,facebook_retargeting,social,4387490,5544,1293.55,148,3,1,4981.0,431.18333333333334
9,2021-02-01,facebook_lal,social,544756,56916,16997.8,596,14,2,4162.0,1214.1285714285714
10,2021-02-01,instagram_blogger,influencer,374754,120436,23604.1,1498,49,7,39081.0,481.7163265306122
11,2021-02-01,banner_partner,media,39889,20900000,931.99,2090,3,0,0.0,310.66333333333336
12,2021-02-02,facebook_tier1,social,349043,478200,18385.3,2391,48,4,17812.0,383.02708333333334
13,2021-02-02,facebook_tier2,social,348934,957806,2198.05,3294,10,0,0.0,219.805
14,2021-02-02,google_hot,search,89459845,43806,11446.7,907,18,3,23943.0,635.9277777777778
15,2021-02-02,google_wide,search,127823,314704,15153.6,2395,39,4,12540.0,388.55384615384617
16,2021-02-02,youtube_blogger,influencer,10934,449200,42301.1,4492,85,17,149141.0,497.65999999999997
17,2021-02-02,instagram_tier1,social,9034945,540200,29081.1,2701,54,9,45585.0,538.5388888888889
18,2021-02-02,instagram_tier2,social,983498,1020800,1421.34,5104,14,0,0.0,101.52428571428571
19,2021-02-02,facebook_retargeting,social,4387490,10033,169.75,301,0,0,0.0,
20,2021-02-02,facebook_lal,social,544756,107553,8829.07,1196,7,1,1129.0,1261.2957142857142
21,2021-02-02,instagram_blogger,influencer,374754,299600,13919.1,2996,19,3,14466.0,732.5842105263158
22,2021-02-02,banner_partner,media,39889,42000000,46159.8,4200,92,13,51753.0,501.73695652173916
23,2021-02-03,facebook_tier1,social,349043,2313889,65284.4,7197,115,13,72527.0,567.6904347826087
24,2021-02-03,facebook_tier2,social,348934,1105666,78958.3,9898,226,12,59772.0,349.37300884955755
25,2021-02-03,google_hot,search,89459845,134900,77345.5,2698,84,16,115856.0,920.7797619047619
26,2021-02-03,google_wide,search,127823,4371854,49498.9,7207,144,13,38753.0,343.7423611111111
27,2021-02-03,youtube_blogger,influencer,10934,1035261,189341.0,13503,455,91,772499.0,416.1340659340659
28,2021-02-03,instagram_tier1,social,9034945,1618600,62509.8,8093,166,15,84600.0,376.5650602409639
29,2021-02-03,instagram_tier2,social,983498,3059600,94399.9,15298,592,36,104184.0,159.45929054054054
30,2021-02-03,facebook_retargeting,social,4387490,29867,5039.51,896,18,4,23560.0,279.97277777777776
31,2021-02-03,facebook_lal,social,544756,295009,76716.4,3595,72,9,5607.0,1065.5055555555555
32,2021-02-03,instagram_blogger,influencer,374754,667352,194336.0,8996,342,51,254031.0,568.233918128655
33,2021-02-03,banner_partner,media,39889,125910000,29378.3,12591,68,13,51753.0,432.03382352941173
34,2021-02-04,facebook_tier1,social,349043,2475754,173914.0,9601,192,31,154411.0,905.8020833333334
35,2021-02-04,facebook_tier2,social,348934,4597702,115389.0,13206,143,17,82909.0,806.916083916084
36,2021-02-04,google_hot,search,89459845,196484,41269.6,3599,55,9,68589.0,750.3563636363637
37,2021-02-04,google_wide,search,127823,1531679,60108.8,9591,234,17,58990.0,256.8752136752137
38,2021-02-04,youtube_blogger,influencer,10934,2120555,185263.0,17993,445,89,624958.0,416.3213483146067
39,2021-02-04,instagram_tier1,social,9034945,1322751,104028.0,10794,238,27,179037.0,437.0924369747899
40,2021-02-04,instagram_tier2,social,983498,3008227,40119.2,20392,408,12,23772.0,98.3313725490196
41,2021-02-04,facebook_retargeting,social,4387490,43160,885.75,1194,4,1,5287.0,221.4375
42,2021-02-04,facebook_lal,social,544756,432611,120335.0,4807,71,13,6864.0,1694.8591549295775
43,2021-02-04,instagram_blogger,influencer,374754,1199300,149279.0,11993,267,38,224542.0,559.0973782771536
44,2021-02-04,banner_partner,media,39889,41924802,177746.0,16806,336,60,204540.0,529.0059523809524
45,2021-02-05,facebook_tier1,social,349043,3462883,90691.7,11997,143,17,84677.0,634.2076923076922
46,2021-02-05,facebook_tier2,social,348934,3299600,261047.0,16498,330,42,209202.0,791.0515151515151
47,2021-02-05,google_hot,search,89459845,236719,96930.6,4504,151,23,177882.0,641.9245033112583
48,2021-02-05,google_wide,search,127823,9914040,56875.2,11993,139,14,49644.0,409.1741007194244
49,2021-02-05,youtube_blogger,influencer,10934,1965108,442617.0,22507,731,146,1165230.0,605.4952120383037
50,2021-02-05,instagram_tier1,social,9034945,7485780,258306.0,13498,526,76,454556.0,491.0760456273764
51,2021-02-05,instagram_tier2,social,983498,5100600,13588.8,25503,765,4,7924.0,17.76313725490196
52,2021-02-05,facebook_retargeting,social,4387490,48954,6790.74,1505,30,5,27060.0,226.358
53,2021-02-05,facebook_lal,social,544756,600400,192789.0,6004,120,21,9492.0,1606.575
54,2021-02-05,instagram_blogger,influencer,374754,2153303,36431.7,15003,51,8,47816.0,714.3470588235293
